State\Action,right,left,up,down,clockwise,counterclockwise
-4995329942133003061,18.32,4.876716146381666,2.0,3.6,4.880000000000001,0.0
991854667831525764,50.00015119978122,24.32752352853471,30.483746778282324,23.593581255733152,9.774820018631477,50.14380810144596
-3641288058924450434,-97.18525023289344,50.139287240724265,15.093327899977872,15.279911943130315,-91.41006540800001,12.721524144584786
-1563431511464967867,0.0,0.0,0.0,0.0,0.0,0.0
-6958196697875153038,0.0,0.0,0.0,0.0,0.0,0.0
1080276518753832092,0.0,6.7232,0.0,39.30213240227725,-73.7856,-20.0
4136293172822605747,0.0,0.0,0.0,0.0,0.0,0.0
6302378586338241683,51.6887759349398,2.0,-67.232,11.741035831296,-20.0,19.87125580062682
-7523153665483917772,0.0,0.0,0.0,0.0,0.0,0.0
5131190762977297809,0.0,2.32,12.4356275683328,-48.8,-48.8,-36.0
3310200604683013921,0.0,0.0,0.0,0.0,0.0,0.0
-6572853065339529712,0.0,17.379076896900976,0.0,-99.92077183748572,-20.0,-97.74820018631476
-2838014009051226605,0.0,0.0,0.0,0.0,0.0,0.0
-2249161647619201520,30.76423735141151,0.0,30.903139042860197,-93.1280523264,50.1349085012566,-86.5782272
-6433582854426833377,0.0,0.0,0.0,0.0,0.0,0.0
-169254388979497808,0.0,0.0,0.0,0.0,0.0,0.0
8580290186269336928,2.5760000000000005,9.992077183748574,0.0,-99.96754814463415,-96.4815627911168,-97.18525023289344
1541978920922870912,0.0,0.0,0.0,0.0,0.0,0.0
1702676605541289554,0.0,0.0,0.0,0.0,0.0,0.0
7088873275050799247,-36.0,38.60763674898445,20.0,-59.04,-36.0,-20.0
8020986125409545700,0.0,0.0,9.999926924918134,17.97947591488541,0.0,0.0
-2476546322602729581,0.0,0.0,0.0,0.0,0.0,0.0
6822934959399200020,0.0,0.0,0.0,0.0,0.0,0.0
221106506823909558,50.14228507502651,0.0,-20.0,-83.222784,0.0,0.0
3375037727492482754,0.0,0.0,0.0,0.0,0.0,0.0
4043070419012057563,0.0,0.0,0.0,0.0,0.0,0.0
-2210306761010351433,0.0,0.0,0.0,0.0,0.0,0.0
603538609003621076,-86.5782272,0.0,0.0,0.0,-83.222784,0.0
-128924042882880156,0.0,0.0,0.0,0.0,0.0,0.0
-3039433935592867079,-98.55884811924145,32.0797398744801,45.46056324830772,21.154055462076023,42.00439301187168,39.09630763521092
-940383017702724436,-59.04,43.81592844667302,89.85029507023991,-73.7856,-73.7856,33.09530683388031
-4949959503646552730,46.06874291653664,-59.04,12.260067146724527,45.53570257071469,31.09455653965462,17.656820368333747
-2949863680402030161,20.0,0.0,0.0,5.760250880000001,-20.0,13.9368704
-8035648828382500186,0.0,0.0,0.0,0.0,0.0,0.0
-3303308061212553503,-36.0,15.3504,88.53885855318133,0.0,0.0,9.812603904
-7478234280164216368,0.0,0.0,0.0,3.6,7.49376,-91.410065408
-6963788620583519584,-20.0,0.0,0.0,0.0,0.0,-73.7856
2681618838734093787,0.0,0.0,0.0,0.0,0.0,0.0
985273087073007577,0.0,0.0,0.0,0.0,0.0,0.0
